"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12","78.74","79.32","80.12","78.09","-","-0.69%"
"Jan 12","79.29","80.28","81.78","78.74","-","-1.11%"
"Dec 11","80.18","78.33","80.85","77.97","-","2.30%"
"Nov 11","78.38","76.56","79.70","76.46","-","2.90%"
"Oct 11","76.17","79.02","79.84","74.72","-","-3.03%"
"Sep 11","78.55","74.17","78.86","74.15","-","5.98%"
"Aug 11","74.12","73.81","75.42","73.45","-","0.30%"
"Jul 11","73.90","74.45","76.72","73.42","-","-0.54%"
"Jun 11","74.30","74.43","76.02","73.51","-","-0.46%"
"May 11","74.64","72.99","76.37","72.70","-","2.34%"
"Apr 11","72.93","76.05","76.61","72.83","-","-3.86%"
"Mar 11","75.86","76.86","77.38","75.34","-","-1.34%"
"Feb 11","76.89","77.61","78.87","76.76","-","-1.08%"
"Jan 11","77.73","79.14","81.31","77.54","-","-1.64%"
"Dec 10","79.03","81.26","81.36","78.78","-","-2.66%"
"Nov 10","81.19","76.97","81.44","75.63","-","5.07%"
"Oct 10","77.27","78.80","78.83","76.14","-","-1.84%"
"Sep 10","78.72","83.09","83.22","78.41","-","-5.38%"
"Aug 10","83.20","81.50","83.56","80.08","-","2.04%"
"Jul 10","81.54","86.10","86.26","81.46","-","-5.21%"
"Jun 10","86.02","86.58","88.71","85.09","-","-0.66%"
"May 10","86.59","81.84","87.46","81.83","-","5.77%"
"Apr 10","81.87","81.04","82.71","80.03","-","0.99%"
"Mar 10","81.07","80.42","82.24","79.51","-","0.88%"
"Feb 10","80.36","79.46","81.34","78.68","-","1.13%"
"Jan 10","79.46","77.92","79.50","76.60","-","2.05%"
"Dec 09","77.86","74.71","78.45","74.27","-","4.12%"
"Nov 09","74.78","76.37","76.82","74.17","-","-1.99%"
"Oct 09","76.30","76.65","77.47","74.94","-","-0.46%"
"Sep 09","76.65","78.11","78.94","75.83","-","-1.94%"
"Aug 09","78.17","78.25","79.51","77.43","-","-0.23%"
"Jul 09","78.35","80.12","80.89","78.22","-","-2.26%"
"Jun 09","80.16","79.35","81.47","78.33","-","1.17%"
"May 09","79.23","84.72","84.87","79.18","-","-6.59%"
"Apr 09","84.82","85.53","86.87","83.73","-","-0.81%"
"Mar 09","85.51","88.58","89.62","82.63","-","-3.02%"
"Feb 09","88.17","86.08","88.49","84.47","-","2.73%"
"Jan 09","85.83","81.18","86.81","80.85","-","5.77%"
"Dec 08","81.15","86.42","87.70","77.69","-","-6.21%"
"Nov 08","86.52","85.81","88.46","83.90","-","1.04%"
"Oct 08","85.63","79.20","87.88","78.95","-","7.78%"
"Sep 08","79.45","77.75","80.38","75.89","-","2.68%"
"Aug 08","77.38","73.22","77.62","73.20","-","5.67%"
"Jul 08","73.23","72.46","73.54","71.31","-","1.06%"
